attribute,d-value
android:allowEmbedded,0
android:allowTaskReparenting,0
android:alwaysRetainTaskState,0
android:autoRemoveFromRecents,0
android:clearTaskOnLaunch,0
android:directBootAware,0
android:enabled,1
android:excludeFromRecents,0
android:exported,0
android:finishOnTaskLaunch,0
android:hardwareAccelerated,0
android:immersive,0
android:multiprocess,0
android:noHistory,0
android:relinquishTaskIdentity,0
android:resizeableActivity,0
android:showForAllUsers,0
android:stateNotNeeded,0
android:supportsPictureInPicture,0
