attribute,d-value
android:allowTaskReparenting,0
android:allowBackup,1
android:allowClearUserData,1
android:allowNativeHeapPointerTagging,1
android:backupInForeground,0
android:debuggable,0
android:enabled,1
android:extractNativeLibs,1
android:fullBackupOnly,0
android:hasCode,1
android:hasFragileUserData,0
android:hardwareAccelerated,1
android:isGame,0
android:killAfterRestore,1
android:largeHeap,0
android:persistent,0
android:restoreAnyVersion,0
android:requestLegacyExternalStorage,0
android:resizeableActivity,0
android:supportsRtl,0
android:testOnly,0
android:usesCleartextTraffic,1
android:vmSafeMode,0
